arm,size,seed,auc_pr,f1
Baseline (No Physics),40,0,0.0198098303263469,0.05157894736829283
Baseline (No Physics),40,1,0.017616706582459327,0.04874954693716398
Baseline (No Physics),40,2,0.014487303852554312,0.043614931237670934
Baseline (No Physics),40,3,0.01233968589999994,0.031462419887283447
Baseline (No Physics),40,4,0.017473088951776055,0.04414569897352068
Baseline (No Physics),80,0,0.01952141426559921,0.050848903677035685
Baseline (No Physics),80,1,0.01831074655890899,0.0496674057648372
Baseline (No Physics),80,2,0.015582226971701476,0.038158836155408035
Baseline (No Physics),80,3,0.015023660402169261,0.04127866573999414
Baseline (No Physics),80,4,0.015998008025808814,0.04398504508456274
Baseline (No Physics),150,0,0.01936034987663668,0.050220563284571994
Baseline (No Physics),150,1,0.01945077160914466,0.053411342832740044
Baseline (No Physics),150,2,0.01781002035693424,0.04631422189117809
Baseline (No Physics),150,3,0.016421807452238493,0.04499775011238357
Baseline (No Physics),150,4,0.017913561623130535,0.04821399967952336
Baseline (No Physics),250,0,0.019288550981575753,0.05013368983944962
Baseline (No Physics),250,1,0.018629701354752316,0.04907574022562823
Baseline (No Physics),250,2,0.018052236195406655,0.04795441956148829
Baseline (No Physics),250,3,0.01692189286257355,0.04596996628857834
Baseline (No Physics),250,4,0.01769489517485332,0.04775037428087047
Baseline (No Physics),400,0,0.019454020327078877,0.05087148694842238
Baseline (No Physics),400,1,0.018563946042723906,0.049181762492214745
Baseline (No Physics),400,2,0.018039196715852395,0.04822315026385054
Baseline (No Physics),400,3,0.017530392593813865,0.051122877487542684
Baseline (No Physics),400,4,0.018192172860697818,0.048905226146598084
Baseline (No Physics),600,0,0.020649980777730132,0.04977187888830629
Baseline (No Physics),600,1,0.018978957906422643,0.049757078237437864
Baseline (No Physics),600,2,0.01753641727284449,0.04685705535552595
Baseline (No Physics),600,3,0.01749094314741277,0.04701089085626629
Baseline (No Physics),600,4,0.01772551177619828,0.047329809891814095
Baseline (No Physics),770,0,0.021218912333115167,0.05714285714256451
Baseline (No Physics),770,1,0.01902861894689922,0.05000850484763862
Baseline (No Physics),770,2,0.018466093993571422,0.04905508644941931
Baseline (No Physics),770,3,0.017941123998852962,0.04768605378349956
Baseline (No Physics),770,4,0.01823965775479283,0.04911256990019693
Constrained (Physics),40,0,0.009738001101687287,0.027631679243815335
Constrained (Physics),40,1,0.01073719431546363,0.028596085199828467
Constrained (Physics),40,2,0.011043969229706031,0.030353569045998494
Constrained (Physics),40,3,0.00938362878650421,0.026063692068670947
Constrained (Physics),40,4,0.03754068475110383,0.08570859079104558
Constrained (Physics),80,0,0.009836688246879749,0.02818340016642304
Constrained (Physics),80,1,0.0103852603810325,0.02758439511359241
Constrained (Physics),80,2,0.011857291621587053,0.03178872065186949
Constrained (Physics),80,3,0.010343224388839783,0.02896903175222372
Constrained (Physics),80,4,0.06432858036535903,0.14942849177551537
Constrained (Physics),150,0,0.013499506559329851,0.039792437143386525
Constrained (Physics),150,1,0.018430856257258686,0.04573362981641734
Constrained (Physics),150,2,0.014249935478444874,0.042489214276326
Constrained (Physics),150,3,0.014756423813813929,0.045129870129820455
Constrained (Physics),150,4,0.04736595561434308,0.11332728921094953
Constrained (Physics),250,0,0.029421318259618873,0.05524296675184782
Constrained (Physics),250,1,0.04596990117949208,0.08782394076496881
Constrained (Physics),250,2,0.032507528769855853,0.053720908839963506
Constrained (Physics),250,3,0.04777465960886368,0.09403063919688963
Constrained (Physics),250,4,0.060630586075286846,0.1325273192277881
Constrained (Physics),400,0,0.038911272475625036,0.07562393162383002
Constrained (Physics),400,1,0.045626867669421325,0.10373443983386031
Constrained (Physics),400,2,0.04390546925367958,0.099731263063457
Constrained (Physics),400,3,0.04938591831818957,0.09970130806453362
Constrained (Physics),400,4,0.0530071801976424,0.11866105431923774
Constrained (Physics),600,0,0.045265193071413745,0.10246420570746567
Constrained (Physics),600,1,0.05193030480860586,0.11644116441145258
Constrained (Physics),600,2,0.04763345401179392,0.10587334572881602
Constrained (Physics),600,3,0.04898552733178811,0.09913969684540724
Constrained (Physics),600,4,0.04548736237207469,0.10138387484937054
Constrained (Physics),770,0,0.04746992941879764,0.10903426791262284
Constrained (Physics),770,1,0.05427801622102499,0.11751880518898555
Constrained (Physics),770,2,0.046982816767108374,0.1030712180278166
Constrained (Physics),770,3,0.05298135772619854,0.1219003476244001
Constrained (Physics),770,4,0.03935670685662539,0.08740740740728653
