arm,size,auc_pr_mean,auc_pr_std,f1_mean,f1_std
Baseline (No Physics),40,0.01634532312262731,0.002932083175799052,0.043910308880786376,0.007702578108346903
Baseline (No Physics),80,0.016887211244837552,0.0019320951326262106,0.04478777128436756,0.005418697504054781
Baseline (No Physics),150,0.01819130218361692,0.0012556435597998914,0.04863157556007941,0.00332115349677263
Baseline (No Physics),250,0.01811745531383232,0.0009008386715677373,0.04817683803920299,0.0015603620051925172
Baseline (No Physics),400,0.018355945708033373,0.0007172380048130624,0.04966090066772569,0.001271872533083584
Baseline (No Physics),600,0.018476362176121662,0.00135973744706272,0.0481453426458701,0.0014878735197775112
Baseline (No Physics),770,0.01897888140544632,0.00131401630035028,0.05060101442466378,0.003749970989594872
Constrained (Physics),40,0.015688695636892996,0.01223483663990374,0.03967072326987177,0.025782901777548335
Constrained (Physics),80,0.021350209000739622,0.024037475190582795,0.053190807891924805,0.05382261233300198
Constrained (Physics),150,0.021660535544638083,0.014494702441677852,0.057294488115379974,0.031411877115330854
Constrained (Physics),250,0.04326079877862347,0.012615345051383514,0.08466915495629157,0.03244876129393579
Constrained (Physics),400,0.04616734158291158,0.0053665944939752675,0.09949039938098374,0.015453451646127832
Constrained (Physics),600,0.04786036831913527,0.0027499067132416358,0.10506045750850242,0.006809817676763692
Constrained (Physics),770,0.04821376539795098,0.0059165253137640605,0.10778640923222231,0.013537140417740588
